cell,budget,token_f1,rouge_l,bert_f1,groundedness,context_utilisation,keyword_coverage,n_queries,n_abstained,recall,ndcg,gold_density,mrr,hit@1,n_chunks,tokens,budget_fill
exp1_bge_combo2_05b_budget500,500,0.2525,0.1892,0.8459,0.5371,0.809,0.3703,29,0,0.7414,0.5796,0.2058,0.5883,0.4138,4.9655,446.2759,0.8926
exp1_bge_combo2_1b_budget500,500,0.3343,0.2815,0.873,0.7746,0.5762,0.2683,29,0,0.7414,0.5796,0.2058,0.5883,0.4138,4.9655,446.2759,0.8926
exp1_bge_combo2_360m_budget500,500,0.2325,0.1905,0.8574,0.6223,0.5432,0.2525,29,1,0.7414,0.5796,0.2058,0.5883,0.4138,4.9655,446.2759,0.8926
exp2_bge_combo2_05b_budget500,500,0.2367,0.1904,0.8438,0.5269,0.4483,0.2826,29,0,0.6034,0.3072,0.1178,0.7241,0.7241,1.0,494.7586,0.9895
exp2_bge_combo2_1b_budget500,500,0.3079,0.2554,0.8689,0.7359,0.3103,0.2544,29,0,0.6034,0.3072,0.1178,0.7241,0.7241,1.0,494.7586,0.9895
exp2_bge_combo2_360m_budget500,500,0.1891,0.1636,0.8428,0.5799,0.2414,0.2256,29,3,0.6034,0.3072,0.1178,0.7241,0.7241,1.0,494.7586,0.9895
exp3_bge_combo2_05b_budget500,500,0.2561,0.2036,0.8502,0.5496,0.6925,0.281,29,0,0.6724,0.59,0.2602,0.708,0.6552,2.7586,382.2069,0.7644
exp3_bge_combo2_1b_budget500,500,0.3032,0.2494,0.8663,0.7286,0.5615,0.2603,29,0,0.6724,0.59,0.2602,0.708,0.6552,2.7586,382.2069,0.7644
exp3_bge_combo2_360m_budget500,500,0.2163,0.1832,0.8535,0.5285,0.5149,0.2335,29,4,0.6724,0.59,0.2602,0.708,0.6552,2.7586,382.2069,0.7644
exp1_bge_combo2_05b_budget1500,1500,0.2628,0.2116,0.8534,0.6425,0.4288,0.3161,29,1,0.8966,0.6358,0.08,0.6076,0.4138,16.8966,1451.2414,0.9675
exp1_bge_combo2_1b_budget1500,1500,0.2828,0.2298,0.8651,0.8029,0.3691,0.2563,29,0,0.8966,0.6358,0.08,0.6076,0.4138,16.8966,1451.2414,0.9675
exp1_bge_combo2_360m_budget1500,1500,0.2157,0.1813,0.8388,0.7919,0.4042,0.3213,29,0,0.8966,0.6358,0.08,0.6076,0.4138,16.8966,1451.2414,0.9675
exp2_bge_combo2_05b_budget1500,1500,0.2694,0.2253,0.8515,0.6127,0.3218,0.2828,29,2,0.8103,0.3657,0.0549,0.8046,0.7241,2.9655,1449.9655,0.9666
exp2_bge_combo2_1b_budget1500,1500,0.3156,0.2637,0.8709,0.7898,0.2069,0.2624,29,0,0.8103,0.3657,0.0549,0.8046,0.7241,2.9655,1449.9655,0.9666
exp2_bge_combo2_360m_budget1500,1500,0.2052,0.1695,0.8335,0.758,0.3678,0.3099,29,0,0.8103,0.3657,0.0549,0.8046,0.7241,2.9655,1449.9655,0.9666
exp3_bge_combo2_05b_budget1500,1500,0.2689,0.2347,0.8541,0.6764,0.3948,0.289,29,0,0.9138,0.6512,0.0796,0.7741,0.6552,8.5862,1377.0345,0.918
exp3_bge_combo2_1b_budget1500,1500,0.2968,0.2552,0.8687,0.7686,0.2922,0.2351,29,1,0.9138,0.6512,0.0796,0.7741,0.6552,8.5862,1377.0345,0.918
exp3_bge_combo2_360m_budget1500,1500,0.2274,0.1967,0.8463,0.739,0.4924,0.2877,29,0,0.9138,0.6512,0.0796,0.7741,0.6552,8.5862,1377.0345,0.918
